年月,城区,预估需求量,预估供给量,供需比,旺季等级,数据来源
2025-01,青秀,2371,284,8.35,超级旺季,行业报告+平台数据推算
2025-01,良庆,1573,319,4.93,超级旺季,行业报告+平台数据推算
2025-01,江南,1209,218,5.55,超级旺季,行业报告+平台数据推算
2025-01,西乡塘,1368,260,5.26,超级旺季,行业报告+平台数据推算
2025-01,兴宁,965,280,3.45,超级旺季,行业报告+平台数据推算
2025-01,邕宁,795,182,4.37,超级旺季,行业报告+平台数据推算
2025-01,武鸣,800,150,5.33,超级旺季,行业报告+平台数据推算
2025-02,青秀,1209,224,5.4,普通旺季,行业报告+平台数据推算
2025-02,良庆,846,217,3.9,普通旺季,行业报告+平台数据推算
2025-02,江南,551,175,3.15,普通旺季,行业报告+平台数据推算
2025-02,西乡塘,648,157,4.13,普通旺季,行业报告+平台数据推算
2025-02,兴宁,406,173,2.35,普通旺季,行业报告+平台数据推算
2025-02,邕宁,391,145,2.7,普通旺季,行业报告+平台数据推算
2025-02,武鸣,378,117,3.23,普通旺季,行业报告+平台数据推算
2025-03,青秀,2128,287,7.41,超级旺季,行业报告+平台数据推算
2025-03,良庆,1304,307,4.25,超级旺季,行业报告+平台数据推算
2025-03,江南,940,197,4.77,超级旺季,行业报告+平台数据推算
2025-03,西乡塘,1105,232,4.76,超级旺季,行业报告+平台数据推算
2025-03,兴宁,700,238,2.94,超级旺季,行业报告+平台数据推算
2025-03,邕宁,740,171,4.33,超级旺季,行业报告+平台数据推算
2025-03,武鸣,573,142,4.04,超级旺季,行业报告+平台数据推算
2025-04,青秀,2005,249,8.05,超级旺季,行业报告+平台数据推算
2025-04,良庆,1318,274,4.81,超级旺季,行业报告+平台数据推算
2025-04,江南,962,220,4.37,超级旺季,行业报告+平台数据推算
2025-04,西乡塘,963,199,4.84,超级旺季,行业报告+平台数据推算
2025-04,兴宁,814,209,3.89,超级旺季,行业报告+平台数据推算
2025-04,邕宁,669,191,3.5,超级旺季,行业报告+平台数据推算
2025-04,武鸣,623,158,3.94,超级旺季,行业报告+平台数据推算
2025-05,青秀,808,183,4.42,平季,行业报告+平台数据推算
2025-05,良庆,539,210,2.57,平季,行业报告+平台数据推算
2025-05,江南,430,137,3.14,平季,行业报告+平台数据推算
2025-05,西乡塘,434,146,2.97,平季,行业报告+平台数据推算
2025-05,兴宁,310,151,2.05,平季,行业报告+平台数据推算
2025-05,邕宁,297,130,2.28,平季,行业报告+平台数据推算
2025-05,武鸣,261,90,2.9,平季,行业报告+平台数据推算
2025-06,青秀,835,182,4.59,平季,行业报告+平台数据推算
2025-06,良庆,538,183,2.94,平季,行业报告+平台数据推算
2025-06,江南,394,142,2.77,平季,行业报告+平台数据推算
2025-06,西乡塘,453,144,3.15,平季,行业报告+平台数据推算
2025-06,兴宁,305,173,1.76,平季,行业报告+平台数据推算
2025-06,邕宁,267,114,2.34,平季,行业报告+平台数据推算
2025-06,武鸣,245,105,2.33,平季,行业报告+平台数据推算
2025-07,青秀,1196,202,5.92,普通旺季,行业报告+平台数据推算
2025-07,良庆,783,247,3.17,普通旺季,行业报告+平台数据推算
2025-07,江南,595,158,3.77,普通旺季,行业报告+平台数据推算
2025-07,西乡塘,601,164,3.66,普通旺季,行业报告+平台数据推算
2025-07,兴宁,460,188,2.45,普通旺季,行业报告+平台数据推算
2025-07,邕宁,426,140,3.04,普通旺季,行业报告+平台数据推算
2025-07,武鸣,379,115,3.3,普通旺季,行业报告+平台数据推算
2025-08,青秀,1117,225,4.96,普通旺季,行业报告+平台数据推算
2025-08,良庆,905,218,4.15,普通旺季,行业报告+平台数据推算
2025-08,江南,655,172,3.81,普通旺季,行业报告+平台数据推算
2025-08,西乡塘,593,173,3.43,普通旺季,行业报告+平台数据推算
2025-08,兴宁,408,198,2.06,普通旺季,行业报告+平台数据推算
2025-08,邕宁,409,133,3.08,普通旺季,行业报告+平台数据推算
2025-08,武鸣,374,107,3.5,普通旺季,行业报告+平台数据推算
2025-09,青秀,825,170,4.85,平季,行业报告+平台数据推算
2025-09,良庆,548,203,2.7,平季,行业报告+平台数据推算
2025-09,江南,399,153,2.61,平季,行业报告+平台数据推算
2025-09,西乡塘,457,139,3.29,平季,行业报告+平台数据推算
2025-09,兴宁,327,149,2.19,平季,行业报告+平台数据推算
2025-09,邕宁,282,112,2.52,平季,行业报告+平台数据推算
2025-09,武鸣,263,90,2.92,平季,行业报告+平台数据推算
2025-10,青秀,1112,183,6.08,普通旺季,行业报告+平台数据推算
2025-10,良庆,683,232,2.94,普通旺季,行业报告+平台数据推算
2025-10,江南,525,145,3.62,普通旺季,行业报告+平台数据推算
2025-10,西乡塘,496,155,3.2,普通旺季,行业报告+平台数据推算
2025-10,兴宁,412,172,2.4,普通旺季,行业报告+平台数据推算
2025-10,邕宁,399,141,2.83,普通旺季,行业报告+平台数据推算
2025-10,武鸣,327,101,3.24,普通旺季,行业报告+平台数据推算
2025-11,青秀,815,163,5.0,平季,行业报告+平台数据推算
2025-11,良庆,588,182,3.23,平季,行业报告+平台数据推算
2025-11,江南,418,141,2.96,平季,行业报告+平台数据推算
2025-11,西乡塘,390,149,2.62,平季,行业报告+平台数据推算
2025-11,兴宁,323,157,2.06,平季,行业报告+平台数据推算
2025-11,邕宁,305,111,2.75,平季,行业报告+平台数据推算
2025-11,武鸣,259,95,2.73,平季,行业报告+平台数据推算
2025-12,青秀,1151,212,5.43,普通旺季,行业报告+平台数据推算
2025-12,良庆,805,232,3.47,普通旺季,行业报告+平台数据推算
2025-12,江南,614,159,3.86,普通旺季,行业报告+平台数据推算
2025-12,西乡塘,571,170,3.36,普通旺季,行业报告+平台数据推算
2025-12,兴宁,474,168,2.82,普通旺季,行业报告+平台数据推算
2025-12,邕宁,417,128,3.26,普通旺季,行业报告+平台数据推算
2025-12,武鸣,378,119,3.18,普通旺季,行业报告+平台数据推算
2026-01,青秀,2517,268,9.39,超级旺季,行业报告+平台数据推算
2026-01,良庆,1544,312,4.95,超级旺季,行业报告+平台数据推算
2026-01,江南,1248,235,5.31,超级旺季,行业报告+平台数据推算
2026-01,西乡塘,1192,227,5.25,超级旺季,行业报告+平台数据推算
2026-01,兴宁,837,254,3.3,超级旺季,行业报告+平台数据推算
2026-01,邕宁,882,191,4.62,超级旺季,行业报告+平台数据推算
2026-01,武鸣,787,171,4.6,超级旺季,行业报告+平台数据推算
2026-02,青秀,1303,195,6.68,普通旺季,行业报告+平台数据推算
2026-02,良庆,773,209,3.7,普通旺季,行业报告+平台数据推算
2026-02,江南,608,152,4.0,普通旺季,行业报告+平台数据推算
2026-02,西乡塘,642,173,3.71,普通旺季,行业报告+平台数据推算
2026-02,兴宁,438,173,2.53,普通旺季,行业报告+平台数据推算
2026-02,邕宁,412,143,2.88,普通旺季,行业报告+平台数据推算
2026-02,武鸣,408,107,3.81,普通旺季,行业报告+平台数据推算
2026-03,青秀,2115,248,8.53,超级旺季,行业报告+平台数据推算
2026-03,良庆,1338,266,5.03,超级旺季,行业报告+平台数据推算
2026-03,江南,963,222,4.34,超级旺季,行业报告+平台数据推算
2026-03,西乡塘,986,207,4.76,超级旺季,行业报告+平台数据推算
2026-03,兴宁,726,232,3.13,超级旺季,行业报告+平台数据推算
2026-03,邕宁,647,175,3.7,超级旺季,行业报告+平台数据推算
2026-03,武鸣,644,140,4.6,超级旺季,行业报告+平台数据推算
2026-04,青秀,1972,279,7.07,超级旺季,行业报告+平台数据推算
2026-04,良庆,1316,270,4.87,超级旺季,行业报告+平台数据推算
2026-04,江南,1065,216,4.93,超级旺季,行业报告+平台数据推算
2026-04,西乡塘,1080,205,5.27,超级旺季,行业报告+平台数据推算
2026-04,兴宁,751,245,3.07,超级旺季,行业报告+平台数据推算
2026-04,邕宁,762,161,4.73,超级旺季,行业报告+平台数据推算
2026-04,武鸣,642,157,4.09,超级旺季,行业报告+平台数据推算
2026-05,青秀,807,179,4.51,平季,行业报告+平台数据推算
2026-05,良庆,529,204,2.59,平季,行业报告+平台数据推算
2026-05,江南,396,138,2.87,平季,行业报告+平台数据推算
2026-05,西乡塘,379,139,2.73,平季,行业报告+平台数据推算
2026-05,兴宁,275,145,1.9,平季,行业报告+平台数据推算
2026-05,邕宁,258,109,2.37,平季,行业报告+平台数据推算
2026-05,武鸣,255,110,2.32,平季,行业报告+平台数据推算
